,name,res_time,n_comments,label
0,bradtraversy/design-resources-for-developers/issue334.yaml,0 days 00:12:33.000000000,68,0
1,awesome-selfhosted/awesome-selfhosted/issue1046.yaml,0 days 15:17:53.000000000,1418,0
2,awesome-selfhosted/awesome-selfhosted/issue1563.yaml,9 days 14:13:53.000000000,605,0
3,CRYTEK/CRYENGINE/issue135.yaml,0 days 14:20:45.000000000,1232,0
4,astaxie/beego/issue1922.yaml,0 days 00:05:37.000000000,3262,0
5,Genymobile/scrcpy/issue724.yaml,0 days 00:07:42.000000000,3637,0
6,formik/formik/issue229.yaml,3 days 03:59:11.000000000,8537,0
7,astaxie/beego/issue2742.yaml,2 days 18:04:57.000000000,1677,0
8,awesome-selfhosted/awesome-selfhosted/issue1052.yaml,1 days 16:09:15.000000000,1411,0
9,Genymobile/scrcpy/issue628.yaml,286 days 11:33:44.000000000,4286,0
10,RasaHQ/rasa/issue1626.yaml,383 days 10:18:31.000000000,16956,0
11,CRYTEK/CRYENGINE/issue533.yaml,95 days 03:25:24.000000000,382,0
12,RasaHQ/rasa/issue4085.yaml,0 days 00:17:17.000000000,6404,0
13,timberio/vector/issue2851.yaml,28 days 07:31:32.000000000,434,0
14,RasaHQ/rasa/issue438.yaml,415 days 19:42:51.000000000,21861,0
15,timberio/vector/issue2092.yaml,0 days 23:49:07.000000000,2156,0
16,RasaHQ/rasa/issue508.yaml,0 days 03:26:51.000000000,21436,0
17,CRYTEK/CRYENGINE/issue563.yaml,43 days 13:03:50.000000000,334,0
18,alibaba/hooks/issue497.yaml,0 days 04:35:18.000000000,41,0
19,Anuken/Mindustry/issue412.yaml,18 days 20:47:35.000000000,4304,0
20,RasaHQ/rasa/issue1743.yaml,42 days 06:38:45.000000000,16580,0
21,ngosang/trackerslist/issue9.yaml,15 days 02:52:24.000000000,427,0
22,RasaHQ/rasa/issue3689.yaml,0 days 01:58:59.000000000,7949,0
23,RasaHQ/rasa/issue2173.yaml,296 days 20:20:19.000000000,14498,0
24,RasaHQ/rasa/issue5063.yaml,2 days 20:23:36.000000000,2876,0
25,awesome-selfhosted/awesome-selfhosted/issue441.yaml,0 days 01:22:16.000000000,2536,0
26,tobspr/shapez.io/issue462.yaml,0 days 02:02:19.000000000,7,0
27,astaxie/beego/issue1656.yaml,199 days 03:30:38.000000000,3876,0
28,Genymobile/scrcpy/issue103.yaml,4 days 20:15:08.000000000,7293,0
29,Anuken/Mindustry/issue751.yaml,12 days 01:55:45.000000000,3501,0
30,coronalabs/corona/issue60.yaml,10 days 22:48:46.000000000,129,0
31,Anuken/Mindustry/issue619.yaml,4 days 23:37:06.000000000,3763,0
32,timberio/vector/issue1709.yaml,26 days 13:22:28.000000000,3338,0
33,awesome-selfhosted/awesome-selfhosted/issue119.yaml,0 days 12:31:02.000000000,3089,0
34,iaincollins/next-auth/issue29.yaml,17 days 18:40:58.000000000,1603,0
35,Genymobile/scrcpy/issue1317.yaml,0 days 07:03:07.000000000,1127,0
36,wg/wrk/issue66.yaml,7 days 10:53:50.000000000,697,0
37,alibaba/hooks/issue81.yaml,0 days 00:05:01.000000000,799,0
38,astaxie/beego/issue1777.yaml,0 days 00:00:07.000000000,3592,0
39,jonataslaw/getx/issue29.yaml,0 days 01:56:24.000000000,1569,0
40,formik/formik/issue1275.yaml,12 days 00:34:50.000000000,3714,0
41,timberio/vector/issue3048.yaml,0 days 19:27:33.000000000,71,0
42,astaxie/beego/issue1314.yaml,0 days 00:39:06.000000000,4701,0
43,Genymobile/scrcpy/issue599.yaml,8 days 21:56:21.000000000,4448,0
44,timberio/vector/issue1902.yaml,2 days 01:52:14.000000000,2787,0
45,Covid-19Radar/Covid19Radar/issue675.yaml,0 days 02:53:20.000000000,35,0
46,RasaHQ/rasa/issue4678.yaml,97 days 17:49:50.000000000,4201,0
47,CRYTEK/CRYENGINE/issue425.yaml,0 days 00:19:38.000000000,588,0
48,Genymobile/scrcpy/issue234.yaml,597 days 22:43:52.000000000,6525,0
49,RasaHQ/rasa/issue1698.yaml,63 days 23:51:51.000000000,16734,0
50,apple/password-manager-resources/issue201.yaml,0 days 00:04:23.000000000,172,0
51,s-matyukevich/raspberry-pi-os/issue95.yaml,0 days 04:15:08.000000000,117,0
52,google/jax/issue2786.yaml,0 days 02:16:31.000000000,1991,0
53,Anuken/Mindustry/issue1424.yaml,0 days 00:03:53.000000000,1736,0
54,alievk/avatarify/issue42.yaml,8 days 02:16:11.000000000,817,0
55,Genymobile/scrcpy/issue30.yaml,0 days 05:07:05.000000000,7841,0
56,jonataslaw/getx/issue240.yaml,0 days 00:36:50.000000000,641,0
57,timberio/vector/issue2693.yaml,0 days 18:25:52.000000000,769,0
58,timberio/vector/issue678.yaml,10 days 02:49:14.000000000,6275,0
59,RasaHQ/rasa/issue1075.yaml,10 days 02:57:53.000000000,19201,0
60,Covid-19Radar/Covid19Radar/issue444.yaml,0 days 02:28:43.000000000,335,0
61,google/jax/issue2119.yaml,11 days 04:13:46.000000000,3493,0
62,google/jax/issue1913.yaml,0 days 02:00:06.000000000,4099,0
63,Genymobile/scrcpy/issue1535.yaml,21 days 14:38:14.000000000,231,0
64,awesome-selfhosted/awesome-selfhosted/issue1012.yaml,13 days 05:25:17.000000000,1479,0
65,Genymobile/scrcpy/issue1050.yaml,1 days 20:53:11.000000000,2175,0
66,formik/formik/issue1070.yaml,0 days 21:32:11.000000000,4429,0
67,lnbook/lnbook/issue52.yaml,0 days 01:58:08.000000000,238,0
68,formik/formik/issue482.yaml,1 days 03:18:22.000000000,7454,0
69,RasaHQ/rasa/issue4744.yaml,22 days 02:55:07.000000000,3939,0
70,timberio/vector/issue1788.yaml,0 days 00:01:23.000000000,3067,0
71,RasaHQ/rasa/issue4674.yaml,3 days 00:56:34.000000000,4213,0
72,RasaHQ/rasa/issue3105.yaml,344 days 01:10:52.000000000,10255,0
73,Anuken/Mindustry/issue1042.yaml,19 days 10:14:43.000000000,2801,0
74,google/jax/issue3329.yaml,1 days 02:07:36.000000000,764,0
75,spmallick/learnopencv/issue391.yaml,4 days 02:21:45.000000000,51,0
76,RasaHQ/rasa/issue420.yaml,5 days 06:22:38.000000000,21982,0
77,RasaHQ/rasa/issue251.yaml,7 days 19:56:53.000000000,22690,0
78,ngosang/trackerslist/issue106.yaml,1 days 23:38:52.000000000,272,0
79,RasaHQ/rasa/issue1147.yaml,56 days 07:54:38.000000000,18843,0
80,astaxie/beego/issue3120.yaml,0 days 01:03:56.000000000,1250,0
81,astaxie/beego/issue545.yaml,83 days 10:19:07.000000000,6375,0
82,timberio/vector/issue2996.yaml,0 days 00:36:56.000000000,134,0
83,RasaHQ/rasa/issue2126.yaml,308 days 14:12:33.000000000,14757,0
84,Anuken/Mindustry/issue1738.yaml,19 days 02:04:35.000000000,1005,0
85,RasaHQ/rasa/issue3966.yaml,0 days 15:39:15.000000000,6890,0
86,formik/formik/issue2173.yaml,0 days 07:15:59.000000000,905,0
87,ngosang/trackerslist/issue37.yaml,7 days 10:33:00.000000000,389,0
88,astaxie/beego/issue2555.yaml,14 days 11:00:09.000000000,2097,0
89,formik/formik/issue1228.yaml,30 days 02:38:48.000000000,3890,0
90,wg/wrk/issue287.yaml,27 days 02:05:51.000000000,195,0
91,RasaHQ/rasa/issue4015.yaml,2 days 15:50:05.000000000,6710,0
92,Anuken/Mindustry/issue1380.yaml,73 days 14:09:41.000000000,1894,0
93,RasaHQ/rasa/issue2390.yaml,232 days 16:49:46.000000000,13352,0
94,timberio/vector/issue639.yaml,0 days 03:12:08.000000000,6379,0
95,Covid-19Radar/Covid19Radar/issue212.yaml,0 days 00:08:31.000000000,413,0
96,github/super-linter/issue376.yaml,10 days 15:00:38.000000000,94,0
97,astaxie/beego/issue2964.yaml,0 days 00:39:19.000000000,1418,0
98,RasaHQ/rasa/issue3973.yaml,56 days 08:15:36.000000000,6873,0
99,Anuken/Mindustry/issue479.yaml,0 days 00:02:05.000000000,4148,0
100,spmallick/learnopencv/issue322.yaml,0 days 00:05:10.000000000,86,0
101,astaxie/beego/issue2257.yaml,3 days 23:28:50.000000000,2669,0
102,tobspr/shapez.io/issue41.yaml,1 days 01:28:47.000000000,822,0
103,awesome-selfhosted/awesome-selfhosted/issue1151.yaml,0 days 05:39:43.000000000,1235,0
104,awesome-selfhosted/awesome-selfhosted/issue530.yaml,0 days 12:07:37.000000000,2303,0
105,bradtraversy/design-resources-for-developers/issue65.yaml,0 days 12:52:29.000000000,184,0
106,google/jax/issue2144.yaml,9 days 22:30:04.000000000,3420,0
107,RasaHQ/rasa/issue759.yaml,0 days 01:33:18.000000000,20487,0
108,awesome-selfhosted/awesome-selfhosted/issue1887.yaml,20 days 03:14:36.000000000,223,0
109,Genymobile/scrcpy/issue703.yaml,248 days 00:23:21.000000000,3765,0
110,google/jax/issue1708.yaml,1 days 03:36:15.000000000,4513,0
111,Anuken/Mindustry/issue1277.yaml,9 days 15:22:42.000000000,2169,0
112,Anuken/Mindustry/issue302.yaml,0 days 01:51:59.000000000,4395,0
113,CRYTEK/CRYENGINE/issue51.yaml,384 days 02:11:10.000000000,1449,0
114,timberio/vector/issue449.yaml,0 days 00:05:20.000000000,6793,0
115,tobspr/shapez.io/issue202.yaml,0 days 01:02:50.000000000,497,0
116,alievk/avatarify/issue135.yaml,2 days 01:17:18.000000000,393,0
117,RasaHQ/rasa/issue4017.yaml,30 days 13:48:49.000000000,6708,0
118,jonataslaw/getx/issue142.yaml,15 days 06:37:48.000000000,1141,0
119,RasaHQ/rasa/issue1607.yaml,0 days 22:10:27.000000000,17048,0
120,google/jax/issue2686.yaml,2 days 09:56:57.000000000,2223,0
