,name,res_time,n_comments,label
0,Microsoft/vscode/gfi_issue78431.yaml,73 days 08:00:29.000000000,380,1
1,Material-UI/material-ui/gfi_issue13447.yaml,2 days 20:44:38.000000000,3923,1
2,Microsoft/TypeScript/gfi_issue4828.yaml,81 days 20:43:22.000000000,1718,1
3,Microsoft/TypeScript/gfi_issue36231.yaml,2 days 04:15:19.000000000,114,1
4,Material-UI/material-ui/gfi_issue11192.yaml,1 days 04:53:54.000000000,4757,1
5,Material-UI/material-ui/gfi_issue9954.yaml,0 days 01:26:40.000000000,5147,1
6,Material-UI/material-ui/gfi_issue21715.yaml,1 days 07:19:40.000000000,67,1
7,Microsoft/TypeScript/gfi_issue27001.yaml,128 days 11:04:19.000000000,531,1
8,Node.js/node/gfi_issue24395.yaml,135 days 05:19:30.000000000,347,1
9,Material-UI/material-ui/gfi_issue14959.yaml,0 days 14:01:50.000000000,3142,1
10,Electron/electron/gfi_issue5465.yaml,1 days 14:04:39.000000000,719,1
11,Microsoft/vscode/gfi_issue38459.yaml,320 days 07:37:52.000000000,1495,1
12,Microsoft/TypeScript/gfi_issue10101.yaml,139 days 00:42:34.000000000,1324,1
13,Material-UI/material-ui/gfi_issue15954.yaml,2 days 06:14:53.000000000,2811,1
14,Node.js/node/gfi_issue2298.yaml,1473 days 15:27:52.000000000,2188,1
15,Kubernetes/kubernetes/gfi_issue68201.yaml,221 days 23:03:56.000000000,868,1
16,Microsoft/vscode/gfi_issue40843.yaml,7 days 18:12:29.000000000,1461,1
17,Material-UI/material-ui/gfi_issue10146.yaml,2 days 14:19:41.000000000,5100,1
18,Material-UI/material-ui/gfi_issue21492.yaml,4 days 13:17:50.000000000,111,1
19,Material-UI/material-ui/gfi_issue13824.yaml,5 days 01:45:11.000000000,3712,1
20,Material-UI/material-ui/gfi_issue14306.yaml,4 days 23:00:54.000000000,3464,1
21,Material-UI/material-ui/gfi_issue21049.yaml,1 days 14:07:34.000000000,216,1
22,Microsoft/TypeScript/gfi_issue22923.yaml,9 days 19:37:14.000000000,714,1
23,Microsoft/TypeScript/gfi_issue6326.yaml,23 days 00:19:39.000000000,1516,1
24,Microsoft/vscode/gfi_issue33017.yaml,85 days 11:33:19.000000000,1653,1
25,Electron/electron/gfi_issue6387.yaml,0 days 02:15:17.000000000,594,1
26,Material-UI/material-ui/gfi_issue16565.yaml,102 days 00:16:06.000000000,2461,1
27,Material-UI/material-ui/gfi_issue7454.yaml,2 days 00:29:20.000000000,5925,1
28,Microsoft/TypeScript/gfi_issue545.yaml,1311 days 01:21:35.000000000,1791,1
29,Material-UI/material-ui/gfi_issue21499.yaml,4 days 06:15:19.000000000,108,1
30,Node.js/node/gfi_issue12946.yaml,159 days 14:43:31.000000000,1023,1
