,name,res_time,n_comments,label
0,RasaHQ/rasa/issue6015.yaml,11 days 01:07:02.000000000,491,0
1,astaxie/beego/issue2923.yaml,0 days 00:06:35.000000000,1475,0
2,formik/formik/issue1451.yaml,7 days 04:27:26.000000000,3127,0
3,RasaHQ/rasa/issue508.yaml,0 days 03:26:51.000000000,21436,0
4,tobspr/shapez.io/issue197.yaml,4 days 18:51:18.000000000,508,0
5,astaxie/beego/issue1533.yaml,0 days 00:00:41.000000000,4166,0
6,timberio/vector/issue3006.yaml,0 days 23:28:22.000000000,126,0
7,jonataslaw/getx/issue273.yaml,1 days 21:31:19.000000000,508,0
8,formik/formik/issue1960.yaml,69 days 19:54:46.000000000,1548,0
9,RasaHQ/rasa/issue2435.yaml,210 days 00:16:00.000000000,13119,0
10,RasaHQ/rasa/issue576.yaml,0 days 10:12:03.000000000,21125,0
11,github/super-linter/issue46.yaml,0 days 00:00:07.000000000,914,0
12,ngosang/trackerslist/issue58.yaml,34 days 03:06:24.000000000,365,0
13,Covid-19Radar/Covid19Radar/issue251.yaml,0 days 02:25:33.000000000,399,0
14,astaxie/beego/issue2003.yaml,41 days 18:02:05.000000000,3131,0
15,awesome-selfhosted/awesome-selfhosted/issue821.yaml,5 days 18:00:42.000000000,1783,0
16,tobspr/shapez.io/issue139.yaml,0 days 02:12:54.000000000,633,0
17,s-matyukevich/raspberry-pi-os/issue113.yaml,0 days 11:06:30.000000000,94,0
18,Genymobile/scrcpy/issue272.yaml,2 days 14:17:45.000000000,6288,0
19,formik/formik/issue1958.yaml,69 days 23:46:26.000000000,1558,0
20,iaincollins/next-auth/issue183.yaml,0 days 00:04:32.000000000,1010,0
21,github/super-linter/issue335.yaml,13 days 22:31:41.000000000,211,0
22,timberio/vector/issue1006.yaml,96 days 01:06:07.000000000,5227,0
23,RasaHQ/rasa/issue3165.yaml,14 days 12:11:57.000000000,9926,0
24,google/jax/issue1030.yaml,0 days 18:04:24.000000000,5978,0
25,lnbook/lnbook/issue184.yaml,1 days 15:55:46.000000000,61,0
26,Covid-19Radar/Covid19Radar/issue366.yaml,0 days 00:00:06.000000000,349,0
27,astaxie/beego/issue1894.yaml,0 days 16:26:34.000000000,3322,0
28,Anuken/Mindustry/issue1392.yaml,7 days 17:37:48.000000000,1864,0
29,CRYTEK/CRYENGINE/issue33.yaml,0 days 00:00:36.000000000,1500,0
30,RasaHQ/rasa/issue819.yaml,0 days 12:05:03.000000000,20265,0
31,timberio/vector/issue2761.yaml,0 days 02:46:47.000000000,601,0
32,RasaHQ/rasa/issue5805.yaml,6 days 11:38:02.000000000,1034,0
33,geongeorge/i-hate-regex/issue50.yaml,1 days 12:51:50.000000000,22,0
34,RasaHQ/rasa/issue2077.yaml,329 days 23:41:17.000000000,15046,0
35,awesome-selfhosted/awesome-selfhosted/issue235.yaml,1 days 23:45:57.000000000,2883,0
36,RasaHQ/rasa/issue3890.yaml,0 days 08:41:16.000000000,7156,0
37,Anuken/Mindustry/issue1886.yaml,4 days 15:21:19.000000000,733,0
38,Anuken/Mindustry/issue311.yaml,0 days 01:35:12.000000000,4389,0
